,movie_ids
1977,0095647
1978,0059550
1979,0118884
1980,0106950
1981,0060802
1982,0092214
1983,0094894
1984,0095925
1985,6768578
1986,0436864
1987,0082766
1988,0470705
1989,0097647
1990,1959563
1991,0144640
1992,2119532
1993,0383574
1994,1081935
1995,1007029
1996,0156729
1997,1504320
1998,0238546
1999,0089913
2000,3910804
2001,0102757
2002,0084329
2003,2008513
2004,0104797
2005,0280486
2006,0299117
2007,0117991
2008,2304915
2009,0032194
2010,0218388
2011,2968804
2012,0070239
2013,0068935
2014,0104265
2015,0155711
2016,0395584
2017,0346156
2018,0253556
2019,0308508
2020,0273517
2021,0401233
2022,1220214
2023,0043014
2024,0077711
2025,0851578
2026,1645080
2027,0211730
2028,0208558
2029,0045708
2030,0046754
2031,1302067
2032,1510934
2033,0338077
2034,0083791
2035,0192614
2036,3018070
2037,0048254
2038,0270933
2039,0179116
2040,1764651
2041,0366777
2042,0452625
2043,0115650
2044,2004420
2045,0206634
2046,2042568
2047,0251114
2048,0425326
2049,0120179
2050,0185125
2051,0189998
2052,3139086
2053,0147800
2054,2398249
2055,0119282
2056,0116277
2057,0109000
2058,0827573
2059,0084315
2060,0311519
2061,0171580
2062,0288439
2063,0296042
2064,0472043
2065,0386005
2066,0090021
2067,0118804
2068,0316188
2069,0029604
2070,0036872
2071,0120836
2072,0472050
2073,0420901
2074,1440129
2075,0083624
2076,2005151
2077,1860213
2078,0132910
2079,1127180
2080,6881890
2081,0473705
2082,0079501
2083,0087363
2084,5109784
2085,0080310
2086,0230600
2087,0114395
2088,0091637
2089,0120661
2090,0085276
2091,0246628
2092,0986233
2093,0099348
2094,0428803
2095,0093378
2096,0319524
2097,0022286
2098,0112384
2099,0114148
2100,0091778
2101,0114319
2102,1273235
2103,0071233
2104,1925431
2105,0103776
2106,0088011
2107,0081318
2108,0327597
2109,0067128
2110,0279778
2111,1156398
2112,5247022
2113,0758798
2114,0111143
2115,0266452
2116,0257076
2117,0077663
2118,0330702
2119,0159382
2120,0216434
2121,0138987
2122,0118607
2123,2948790
2124,0221027
2125,0317648
2126,0107613
2127,0929629
2128,0105435
2129,0271211
2130,0257756
2131,0258153
2132,0117238
2133,1185416
2134,1616195
